"ctry","year","population","gdp_current_usd","gdp_per_cap","listed_domestic_comps","mkt_cap_gdp","foreign_invest_gdp","voice_account_est","voice_account_rank","pol_stab_est","pol_stab_rank","gov_eff_est","gov_eff_rank","reg_qual_est","reg_qual_rank","rule_law_est","rule_law_rank","control_cor_est","control_cor_rank"
"SC",2018,96762,1784313926.76807,18440.2340460932,26,15.9024707336089,17.1030662941746,0.192306637763977,53.8834953308105,0.673994183540344,67.4528274536133,0.633227169513702,74.2857131958008,0.019313707947731,55.7142868041992,0.280405759811401,61.4285697937012,0.860159635543823,80
"SC",2019,97625,1868690096.73454,19141.5118743615,33,60.8201435853947,13.7575701960234,0.312127530574799,57.0048294067383,0.65878689289093,68.3962249755859,0.62241393327713,72.8571395874023,0.0288456808775663,56.1904754638672,0.250036776065826,60,1.17574965953827,84.2857131958008
"SC",2020,98462,1382551751.56908,14041.4754074575,40,88.5688364728686,5.79027015191072,0.48148387670517,60.386474609375,0.701836466789246,70.2830200195312,0.678993999958038,73.8095245361328,0.0210380405187607,53.8095245361328,0.234800010919571,59.0476188659668,1.38889753818512,89.523811340332
"SC",2021,99258,1487173794.80528,14982.9111487767,47,81.3946563762908,7.52808883301193,0.630645036697388,66.1835784912109,0.744736969470978,70.2830200195312,0.899884402751923,77.6190490722656,0.00621102703735232,52.8571434020996,0.303993672132492,60,1.6004593372345,91.9047622680664
"SY",2015,19424618,16466863117.0009,847.731631942565,NA,NA,NA,-1.92252731323242,2.95566511154175,-2.965176820755,0,-1.62828612327576,4.7619047164917,-1.66471791267395,3.80952382087708,-1.43668627738953,4.7619047164917,-1.56897044181824,1.90476191043854
"SY",2016,19193834,12597854877.4254,656.3490586313,NA,NA,NA,-1.98698210716248,1.47783255577087,-2.90603613853455,0,-1.85192203521729,1.90476191043854,-1.68493008613586,3.80952382087708,-1.99362325668335,0.952380955219269,-1.59303390979767,1.90476191043854
"SY",2017,19224668,16369843352.3453,851.502005254153,NA,NA,NA,-1.9697140455246,1.97044336795807,-2.61291933059692,0.952380955219269,-1.80082786083221,2.38095235824585,-1.85304284095764,3.33333325386047,-2.09795308113098,0.952380955219269,-1.58355188369751,2.38095235824585
"SY",2018,19577845,21497782867.6426,1098.0668642357,NA,NA,NA,-1.96841883659363,1.94174754619598,-2.7364559173584,0.943396210670471,-1.70234167575836,3.33333325386047,-1.75966858863831,3.33333325386047,-2.05464148521423,0.952380955219269,-1.64825057983398,1.42857146263123
"SY",2019,20353534,22583045060.0821,1109.53926036049,NA,NA,NA,-1.99274742603302,1.44927537441254,-2.73046922683716,0.471698105335236,-1.74495160579681,3.80952382087708,-1.779421210289,3.33333325386047,-2.08824348449707,0.952380955219269,-1.70791292190552,1.42857146263123
"SY",2020,21049429,12047752036.091,572.355289831901,NA,NA,NA,-1.93074858188629,1.44927537441254,-2.71184778213501,0,-1.75425779819489,2.85714292526245,-1.89161384105682,3.33333325386047,-2.08890843391418,0.952380955219269,-1.73539638519287,0.476190477609634
"SY",2021,21628839,14353205678.4991,663.614245706815,NA,NA,NA,-1.91174566745758,0.966183602809906,-2.65965008735657,0.471698105335236,-1.76703357696533,2.85714292526245,-1.64680981636047,4.2857141494751,-2.0821385383606,0.952380955219269,-1.798743724823,0.476190477609634
"TC",2015,36605,942070000,25736.101625461,NA,NA,-7.41855700744106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2016,38315,1032452000,26946.4178520162,NA,NA,1.60685436223669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2017,39913,1022365000,25614.8372710646,NA,NA,2.15852459737961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2018,41559,1314329000,31625.616593277,NA,NA,3.21281809957781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2019,43166,1371838000,31780.5217068989,NA,NA,1.96536835982091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2020,44386,918387000,20690.9160546118,NA,NA,3.31220825207674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TC",2021,45243,1236459000,27329.2885087196,NA,NA,2.3203583782398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TD",2015,14647621,14559599499.5011,993.990730610869,NA,NA,3.84380092336452,-1.33516001701355,11.3300495147705,-0.973281741142273,15.7142858505249,-1.49103915691376,6.1904764175415,-1.22344315052032,9.5238094329834,-1.21115374565125,8.5714282989502,-1.38182151317596,5.2380952835083
"TD",2016,15114655,13026289835.7789,861.831767630746,NA,NA,1.87837153237555,-1.36306011676788,11.822660446167,-1.30189418792725,10.4761905670166,-1.55941104888916,6.1904764175415,-1.18124747276306,10.4761905670166,-1.40784251689911,7.14285707473755,-1.51151919364929,4.2857141494751
"TD",2017,15622759,13349041408.7152,854.46120040098,NA,NA,2.72215531343515,-1.37168288230896,11.822660446167,-1.28639268875122,9.5238094329834,-1.50938868522644,5.7142858505249,-1.22570562362671,9.5238094329834,-1.31842732429504,8.5714282989502,-1.45586037635803,4.7619047164917
"TD",2018,16156531,15327000248.8701,948.656629871231,NA,NA,3.00704966736056,-1.46530628204346,8.73786449432373,-1.47801554203033,8.01886749267578,-1.56226944923401,6.1904764175415,-1.12444484233856,10.9523811340332,-1.33122742176056,7.14285707473755,-1.40442442893982,7.14285707473755
"TD",2019,16685223,14905517742.8454,893.336441643325,NA,NA,3.80153819394825,-1.4343535900116,9.17874431610107,-1.35045111179352,10.3773584365845,-1.60712659358978,5.7142858505249,-1.12440085411072,10,-1.31430351734161,6.66666650772095,-1.417515873909,6.1904764175415
"TD",2020,17224679,14932897821.2387,866.947814890409,NA,NA,3.73465690769548,-1.40327632427216,11.1111106872559,-1.25522029399872,11.3207550048828,-1.51073718070984,6.1904764175415,-1.12530958652496,10.9523811340332,-1.33126771450043,7.61904764175415,-1.42523777484894,6.1904764175415
"TD",2021,17828273,16871937697.5854,946.358500208374,NA,NA,4.17913326043699,-1.41166150569916,11.5942029953003,-1.38986551761627,10.3773584365845,-1.46098041534424,6.66666650772095,-1.17182517051697,10.4761905670166,-1.34221231937408,7.61904764175415,-1.49649703502655,4.7619047164917
